date,site
2016-08-31,Mawikwe Bay
2017-08-09,Mawikwe Bay
2018-08-09,Mawikwe Bay
2018-08-10,Mawikwe Bay
2018-08-12,Mawikwe Bay
2018-08-13,Mawikwe Bay
2019-07-06,Mawikwe Bay
2020-09-05,Site 8
2021-07-17,Site 1
2021-07-18,Mawikwe Bay
2022-08-22,Site 8
2022-09-20,Site 1
2023-08-07,Mawikwe Bay
2023-09-03,Site 8
2023-09-20,lksba
2023-09-21,Site 8
2023-09-21,lksba
2023-09-28,lksba
2023-10-02,lksba
2023-10-03,lksba
2023-10-05,lksba
2024-08-06,Site 1
2024-08-07,lksba
2024-08-21,lksba
2024-08-26,lksba
2024-09-11,lksba
