date,site,latitude,longitude,chl,temp,turb,tp,discharge_nemadji,discharge_brule,airtemp_buoy,watertemp,airtemp_wing,windspeed_lake,winddir_lake,airtemp_slre,windspeed_slre,winddir_slre,precip_slre,year
2015-01-01,,,,,,,,117,170,,,-6.61655172413793,6.828275862068965,251.7793103448276,-7.551041666666667,2.377083333333333,228.30208333333337,0,2015
2015-01-02,,,,,,,,132,169,,,-10.588111888111888,4.591608391608391,234.31468531468525,-11.153125,0.7906250000000001,241.23958333333337,0,2015
2015-01-03,,,,,,,,147,170,,,-3.7576388888888896,2.9083333333333328,187.51048951048944,-6.641666666666667,1.496875,258.3958333333333,0,2015
2015-01-04,,,,,,,,120,164,,,-15.912080536912752,8.202684563758389,314.744966442953,-21.365625,3.3385416666666665,280.375,0,2015
2015-01-05,,,,,,,,87.1,154,,,-20.96979865771812,6.822147651006712,243.0604026845637,-20.871875000000003,1.6895833333333332,191.39583333333337,0,2015
2015-01-06,,,,,,,,78.1,146,,,-16.413698630136984,5.94931506849315,238.7671232876712,-17.198958333333334,3.1239583333333334,248.375,0,2015
2015-01-07,,,,,,,,72.1,136,,,-19.510828025477707,8.955414012738853,288.108280254777,-20.87291666666667,2.9364583333333334,246.09375,0,2015
2015-01-08,,,,,,,,67.4,126,,,-16.558666666666667,5.076,220.59333333333336,-16.088541666666668,2.9739583333333335,231.80208333333337,0,2015
2015-01-09,,,,,,,,60.8,120,,,-15.965625,10.464375,288.08125000000007,-17.725,2.5583333333333336,238.84375,0,2015
2015-01-10,,,,,,,,60.8,110,,,-15.861805555555556,4.216666666666667,210.25694444444449,-17.873958333333334,1.0114583333333331,178.85416666666669,0,2015
2015-01-11,,,,,,,,54.2,106,,,-14.02027972027972,3.264335664335664,221,-17.553125,0.8645833333333333,202.42708333333337,0,2015
2015-01-12,,,,,,,,50.9,101,,,-14.83986013986014,5.151748251748252,193.5734265734266,-20.775,1.13125,228.53125,0,2015
2015-01-13,,,,,,,,60,98.1,,,-17.913986013986012,3.0608391608391603,177.5664335664336,-18.432291666666664,1.932291666666667,165.03125,0,2015
2015-01-14,,,,,,,,47.6,100,,,-8.878260869565217,3.946376811594203,205.30434782608697,-7.230208333333333,1.8645833333333333,180.73958333333337,0,2015
2015-01-15,,,,,,,,47.6,107,,,-2.876428571428571,5.721276595744681,229.70212765957444,-2.419791666666667,2.345833333333333,246.38541666666663,0,2015
2015-01-16,,,,,,,,50.9,109,,,-7.4,4.812587412587412,151.88811188811198,-8.279166666666667,1.4822916666666668,152.65625,0,2015
2015-01-17,,,,,,,,57.5,117,,,-3.676595744680851,2.535460992907802,153.1714285714285,-1.992708333333334,1.6052083333333331,222.07291666666663,0,2015
2015-01-18,,,,,,,,64.1,123,,,0.2733812949640287,6.816546762589928,261.8776978417267,-0.6510416666666676,1.7114583333333333,255.08333333333331,0,2015
2015-01-19,,,,,,,,70.7,126,,,-3.545323741007194,2.650359712230216,90.35251798561151,-3.943750000000001,1.3739583333333336,108.51041666666671,0,2015
2015-01-20,,,,,,,,74,126,,,-3.71231884057971,2.1239130434782605,84.4264705882353,-3.196875,0.9927083333333334,68.125,0,2015
2015-01-21,,,,,,,,77.3,127,,,-3.4654676258992807,1.8726618705035964,195.496402877698,-3.365625,1.4552083333333332,265.96875,0,2015
2015-01-22,,,,,,,,83.9,127,,,-4.162937062937063,4.87972027972028,247.04895104895104,-4.154166666666667,2.605208333333333,206.66666666666663,0,2015
2015-01-23,,,,,,,,87.2,134,,,0.8896551724137943,6.017931034482759,217.88275862068969,2.7062500000000003,2.371875,210.8125,0,2015
